sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_bert_sts,metric_sent_bert,metric_icl_E_qwen25_completion_v2,metric_icl_E_rate_qwen25_completion_v2,metric_icl_C_qwen25_completion_v2,metric_icl_D_qwen25_completion_v2,metric_icl_D_rate_qwen25_completion_v2,metric_icl_E_qwen25_completion_v2_std,metric_icl_E_rate_qwen25_completion_v2_std,metric_icl_C_qwen25_completion_v2_std,metric_icl_D_qwen25_completion_v2_std,metric_icl_D_rate_qwen25_completion_v2_std
test.sa-sb.sa::00646,Lance is working hard on building a new room to his house. He works very hard day and night to get in done quick. One night while working all day he wanted to keep going and finish it. He began working while being tired and hammered his hand accidentally.,1.0,content_diversity,Lance rushed to the hospital and was given pain medication,Lane hand swelled and felt broken,He put his hand in ice water to numb the pain,Lance was angry and broke the wall with the hammer,Lance gave up that day and went to sleep,-0.041,0.943,-0.234,-0.726,-0.285,15.163750,0.347893,0.536722,8.138716,0.186722,52.977696,2.010620,0.000000,28.434288,1.079144
test.sa-sb.sa::00647,The man smashed a pumpkin. The neighbors saw him do it. The neighbors told the cops. The cops had no choice but to look into it.,1.0,content_diversity,The cops drove up and down the street looking out for the man.,The cops caught the man smashing another pumpkin.,The cops chased the man down the street and arrested him.,The cops pretended to look into it but did nothing except eat donuts.,The man hid out and was never found.,-0.087,0.894,-0.409,-0.760,-0.191,-2.397500,-0.202129,0.620299,-1.487168,-0.125380,60.645094,0.999704,0.000000,37.618109,0.620116
test.sa-sb.sa::00647,The man smashed a pumpkin. The neighbors saw him do it. The neighbors told the cops. The cops had no choice but to look into it.,0.0,content_diversity,The man was in plain sight smashing more pumpkins.,The cops arrested the man in the act.,The cops followed the man covered in pumpkin guts.,The man was handcuffed and taken away.,The man put the hollowed out pumpkin on his head and ran.,-0.088,0.894,-0.341,-0.776,-0.306,3.792500,0.161133,0.596075,2.260613,0.096047,44.509545,0.435696,0.000000,26.531014,0.259708
test.sa-sb.sa::00649,Larry had a wonderful relationship and a best friend. He was very happy with both of them. Unfortunately one day Larry's girlfriend admitted to cheating. She told him it was with his best friend.,1.0,content_diversity,he was crushed,he went and bunch his best friends in the face.,he stop associating with both of them,he decides to get a new girlfriend and a new best friend,they are no longer his girlfriend and his best friend,-0.039,0.916,-0.188,-0.694,-0.299,20.783906,0.529035,0.438998,9.124098,0.232245,93.264766,1.741898,0.000000,40.943069,0.764690
test.sa-sb.sa::00650,"Little Zelly sat down at lunch time. She opened her lunch bag with excitement. Inside she saw baby carrots, sliced fruit, and rice with vegetables. At the bottom, she saw a smiley face drawn on her napkin.",1.0,content_diversity,it was so thoughtful,the lunch was delicious,the lunch was very simple,she was surprised,she felt warm inside,-0.065,0.893,-0.290,-0.668,-0.328,24.486875,1.085395,0.377266,9.238065,0.409483,21.531915,1.037147,0.000000,8.123259,0.391280
test.sa-sb.sa::00651,Sam's television was stolen. He was shopping for a replacement. He didn't have much money. Sam was looking at used ones when he found his old one.,1.0,content_diversity,he got his old television back,he tried to find why it was there,he ask for his old television back,he demand his old television back,he wanted his old one back.,-0.190,0.802,-0.493,-0.782,-0.522,19.607656,0.510561,0.461545,9.049819,0.235647,58.861378,1.855695,0.000000,27.167184,0.856487
test.sa-sb.sa::00653,Jessie was visiting her grandmother. She was staying at her house overnight. Her grandmother cooked Jessie's favorite supper for her. They enjoyed a movie at night.,1.0,content_diversity,Jessie had a great night,Jessie had leftovers for breakfast the next day,Jessie went to sleep happy,They decided to do the same thing next week,They enjoyed the movie so much they watched another one!,-0.031,0.951,-0.247,-0.727,-0.253,1.045938,0.234547,0.651476,0.681403,0.152802,44.922114,0.359870,0.000000,29.265657,0.234446
test.sa-sb.sa::00653,Jessie was visiting her grandmother. She was staying at her house overnight. Her grandmother cooked Jessie's favorite supper for her. They enjoyed a movie at night.,0.0,content_diversity,The night was great for Jessie,Jessie had fun that night,Jessie really enjoyed herself,Both Jessie and her grandma had a lot of fun,Jessie thought the night was awesome,-0.058,0.934,-0.381,-0.931,-0.778,16.514062,0.555620,0.607280,10.028655,0.337417,26.371907,0.353738,0.000000,16.015124,0.214818
test.sa-sb.sa::00654,Kate had a headache. She kept a bottle of pills in her purse for such an occasion. She could only find vitamins in the bottle. She had been sharing her Advil with people at work.,1.0,content_diversity,she was so sad all her advil was gone,she could not believe someone switch her pills,she went to get some new advil,someone gave her some aspirin,she tried to find out who switch her medicine.,-0.046,0.931,-0.270,-0.754,-0.363,26.611250,0.858199,0.421643,11.220455,0.361854,31.361787,0.506523,0.000000,13.223487,0.213572
test.sa-sb.sa::00655,Ken went skiing with friends. He was new to the whole thing. They all went too high up and he tried to follow. Ken tumbled the entire way down.,1.0,content_diversity,he was not hurt,he was hurt,he was so sad he did not go skiing again,he did not like skiing after that,it was a bad ski experience,-0.098,0.878,-0.397,-0.718,-0.376,17.081055,0.657970,0.394564,6.739564,0.259611,39.597288,0.868336,0.000000,15.623653,0.342614
test.sa-sb.sa::00655,Ken went skiing with friends. He was new to the whole thing. They all went too high up and he tried to follow. Ken tumbled the entire way down.,0.0,content_diversity,he got hurt,he got injured,he was injured,his fall was painful,this incident cause him some injury,-0.049,0.933,-0.525,-0.906,-0.762,5.154023,0.943454,0.345005,1.778164,0.325497,69.831473,1.432268,0.000000,24.092213,0.494140
test.sa-sb.sa::00656,Sarah lost her husband in the war. It had been years since she seen her husband. One day she gets a letter in the mail. It was a letter from her husband.,1.0,content_diversity,"He sent her the letter before his death, she cried as she read it",Her husband had another soldier mail it to her in case something happened,Sarah was scared to open it but when she did she was filled with love,Sarah thought she was going crazy and the letter wasn't real,"She couldn't open it, she was crying to much",-0.050,0.935,-0.179,-0.772,-0.320,13.825000,0.082219,0.604152,8.352401,0.049673,46.339671,0.546764,0.000000,27.996202,0.330329
test.sa-sb.sa::00657,Rita is out at burger king with her family. She is enjoying her usual meal. While eating she gets something in her throat. Rita is choking and needs help.,0.0,content_diversity,"Fortunately, this is seen by a nurse who rushes to her rescue.",A nurse at the next table suddenly puts her hands around Rita's waist.,Rita is saved by a nurse who was also a patron.,"Thankfully, a nurse with experience is nearby.",Rita is suddenly lifted up by a nurse who performs the Heimlich manever.,-0.105,0.874,-0.267,-0.882,-0.535,15.567500,0.476483,0.494253,7.694291,0.235504,57.924385,0.641123,0.000000,28.629328,0.316877
test.sa-sb.sa::00661,My 2 year old cousin was eating an apple. He walked around between everyone at the party. He started coughing and choking. Everyone panicked and started hitting him on the back.,1.0,content_diversity,He quickly spit out the apple.,"Luckily, there was a doctor at the party.","My sister, who was a trained nurse, quickly picked him up and turned him over.",The poor thing thought everyone was beating on him.,"Once he spit it out, the party resumed to normal.",-0.030,0.949,-0.215,-0.653,-0.171,8.040312,-0.029878,0.605666,4.869748,-0.018096,66.181994,0.716085,0.000000,40.084216,0.433709
test.sa-sb.sa::00662,"My friends and I bought tickets to a music festival. Before the festival, we went to John's house to have lunch. We grilled chicken and drank beer. After lunch, we went to the music festival.",0.0,content_diversity,Everyone had fun,A great time was had by all,We all enjoyed the eveing,The music festival was great,The show was awesome!,-0.027,0.950,-0.360,-0.704,-0.680,8.048906,0.237640,0.565363,4.550554,0.134353,36.863289,1.628171,0.000000,20.841140,0.920508
test.sa-sb.sa::00663,I always wanted to take an art class. So when I turned 40 I enrolled into art classes. I was so nervous and didn't really talk to anyone unless necessary. Our first project was a group activity that forced everyone to talk.,1.0,content_diversity,I realized my classmates were really nice.,Everyone was so nice to talk to.,No one really wanted to talk to each other.,We met up at the bar every day after class.,By the end of the class we were friends.,-0.032,0.935,-0.278,-0.749,-0.289,15.176563,0.356131,0.572671,8.691185,0.203946,42.165459,0.930533,0.000000,24.146956,0.532890
test.sa-sb.sa::00664,Jenny has decided that she wants to buy a cellphone. She goes to a store but finds many are expensive. Finally she finds a cell phone that fits her budget. Jenny buys it.,1.0,content_diversity,Jenny is happy with her purchase and loves her new phone,Jenny hates her cheap new phone and gets another one,As she's leaving the store she drops and breaks it,She loves her new phone and shows it to her friends,"Jenny spends all day programming her new phone, she loves it",-0.091,0.880,-0.387,-0.833,-0.449,9.706875,0.248912,0.575993,5.591092,0.143371,49.204323,0.794515,0.000000,28.341346,0.457635
test.sa-sb.sa::00665,"Abby recently went diving in Jamaica. As Abby was diving, she grabbed a piece of coral. The instructor immediately scolded Abby for her error. Abby did not know she could not break off the coral.",1.0,content_diversity,Abby cried when she was told that she couldn't take the coral.,Abby tried to put the coral back.,The instructor felt bad for scolding and explained why she shouldn't take the coral.,Abby threw the coral back into the ocean.,Abby ran home and told her mother what happened.,-0.075,0.904,-0.324,-0.846,-0.470,24.707344,0.363287,0.627813,15.511601,0.228076,64.519255,0.597943,0.000000,40.506050,0.375396
test.sa-sb.sa::00666,Tim loved nature. He would go out into it every chance he got. This weekend he went canoeing. It was relaxing and challenging at the same time.,1.0,content_diversity,Tim decided to go conoeing next weekend as well,Tim told his friends how great it was,He went home and learned more about canoeing,Tim decided to buy a canoe,Tim spent the whole weekend canoeing and loved it,-0.040,0.937,-0.322,-0.850,-0.445,20.382188,0.632838,0.541420,11.035316,0.342631,47.052599,0.776879,0.000000,25.475201,0.420618
test.sa-sb.sa::00667,It was Sam's first day at college. He messed up his alarm and woke up late. He tried to get to class as fast as possible. Once there he didn't understand anything being said.,0.0,content_diversity,Sam was in the wrong classroom.,The school had switched the rooms for the Mandarin class and his class.,Sam didn't pay attention and walked into the wrong building.,Sam didn't realize it was Tuesday's Mandarin class and not his Monday history class.,Sam was on the phone and not watching what room he went to.,-0.069,0.901,-0.302,-0.789,-0.363,25.169063,0.319975,0.542897,13.664211,0.173713,87.892078,0.717683,0.000000,47.716355,0.389628
test.sa-sb.sa::00668,"There was a girl in our class who was in a wheelchair. Her aunt took the class as well. One day, she was in the bathroom. Her aunt went to class and forgot her niece in the bathroom.",1.0,content_diversity,The niece stayed in the bathroom all night.,The niece started yelling and alerted her aunt.,The aunt looked around and realized she had forgotten her niece.,The niece wheeled herself to class.,The niece called her aunt on the cellphone to find out where she was.,-0.083,0.913,-0.432,-0.830,-0.443,7.170625,0.215930,0.592191,4.246381,0.127872,30.033613,0.601325,0.000000,17.785642,0.356099
test.sa-sb.sa-b::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,1.0,content_diversity,One weekend she went to the dog tracks and learned her lesson after spending her entire paycheck!,Last weekend she actually won $1000 and booked a trip to Mexico with the winnings.,Tammy fell in love with one of the Greyhounds and adopted him when he retired.,One day she booked a trip to Vegas where she could gamble even more.,Tammy's friends were worried about her so they staged an intervention.,-0.038,0.931,-0.225,-0.668,-0.265,15.748125,0.192607,0.573803,9.036325,0.110518,79.184695,0.490654,0.000000,45.436432,0.281539
test.sa-sb.sa-b::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,0.0,content_diversity,An intervention was staged by Tammy's concerned friends.,Tammy was to face an intervention set up by her worried buddies.,Friends of Tammy's were distraught by her gambling addiction so and intervention was staged.,Concern from Tammy's friends led them to do an intervention.,Tammy discovered when her friends staged an intervention that they were worried.,-0.077,0.897,-0.420,-0.979,-0.806,57.712344,0.821020,0.461705,26.646099,0.379070,81.038341,0.971297,0.000000,37.415837,0.448453
test.sa-sb.sa-b::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,1.0,content_diversity,she felt asleep again,she decide to do some reading,she decide to have a conversation,she eat something,she drink something,-0.075,0.896,-0.316,-0.740,-0.308,37.984766,1.648782,0.332476,12.629013,0.548180,26.324492,0.968667,0.000000,8.752255,0.322058
test.sa-sb.sa-b::00682,Kate had slept most of the way on the road trip. She was awake now. But she had no headphones to listen to music. Her eyes felt heavy as she stared at the road passing by.,0.0,content_diversity,she drift back into sleep,she sleeps once more,she fell asleep once more,she decide to sleep more,she close her eye and drifted back to sleep,-0.080,0.904,-0.342,-0.969,-0.858,28.219375,1.299350,0.345127,9.739269,0.448441,27.759000,1.039730,0.000000,9.580381,0.358839
test.sa-sb.sa-b::00683,Ben is in his favorite store. He decides to buy some apples. He takes them home and washes them. After washing them he bites into the apple.,1.0,content_diversity,He sees a worm in the apple and spits what he has bitten off out.,Ben thinks these are the best tasting apples he has ever had.,All of the apples turn out to be bad inside.,Ben thinks these are the worst tasting appkleas he has ever tried.,"He finishes the apple which was so good, he gest another right away.",-0.077,0.882,-0.222,-0.867,-0.477,2.321250,0.199662,0.502024,1.165324,0.100235,112.531623,1.559219,0.000000,56.493605,0.782766
test.sa-sb.sa-b::00684,Lance can't wait to go on his cruise. He never been on a ship before. He boards the ship to set off on his cruise. About 10 minutes on board he starts feeling sick.,1.0,content_diversity,He throws up over the side of the boat.,The feeling soon goes away and he really starts to enjoy himself.,"He sees other people throwing up and this makes him join in, soon the deck is awash with vomit.",He asks for the boat to be turned around but they say this is not possible.,He goes to the side of the boat to be sick but accidently falls over the rails and into the sea.,-0.079,0.880,-0.282,-0.776,-0.287,25.995625,0.335411,0.605060,15.728910,0.202944,101.161253,0.728394,0.000000,61.208618,0.440722
test.sa-sb.sa-b::00685,My sister-in-law B loved to nibble on raw hamburger. One day we were on vacation together. B made hamburgers for us. Later at night she had stomach cramps.,0.0,content_diversity,she made a bad choice,eating raw meat was a bad decision,she should not have eaten raw meat,she decides incorrectly,her decision was wrong,-0.040,0.919,-0.398,-0.772,-0.494,38.552344,1.407437,0.360116,13.883327,0.506841,26.867693,1.117723,0.000000,9.675494,0.402510
test.sa-sb.sa-b::00686,John read the newspaper every day. He always thought the stuff inside it was honest. ONe day he cross referenced with other sources. John found out he had been lied to a lot.,0.0,content_diversity,John stopped reading that newpaper.,After that John never once revisited that paper.,This particular paper was dead to John as he no longer read it.,He ceased to ever look at that paper again from that point onwards.,John no longer so much as perused that paper after that.,-0.071,0.923,-0.347,-0.920,-0.748,30.886875,0.448570,0.487048,15.043398,0.218475,48.721868,0.404593,0.000000,23.729900,0.197056
test.sa-sb.sa-b::00687,Jake never cooked dinner. He thought he would surprise his girlfriend. He looked up online how to cook a fancy dinner. Jake only messed up small parts of it.,0.0,content_diversity,Jake was proud of learning something new.,Jake needed the extra help.,The additional knowledge let Jake succeed.,The extra research led to a happy event.,The meal went good by Jake's research.,-0.025,0.964,-0.331,-0.855,-0.530,23.561250,0.594956,0.394173,9.287205,0.234516,48.391636,1.224926,0.000000,19.074669,0.482833
test.sa-sb.sa-b::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,1.0,content_diversity,It was hard trying to write his first book but worth it.,"Kevin's favorite author turned out to be a jerk, which was deflating to Kevin.",Kevin wanted to emulate his favorite author and treat his fans like gold.,"Kevin's favorite author came up to him and introduced himself, to Kevin's surprise.",Kevin really enjoyed the rally and he was over the moon meeting his favorite author.,-0.069,0.908,-0.329,-0.879,-0.493,4.431250,0.066056,0.604130,2.677053,0.039906,32.907650,0.877649,0.000000,19.880514,0.530215
test.sa-sb.sa-b::00688,Kevin always wanted to be a writer. He decided he wanted to write just like his favorite author. He spent years perfecting his style. He was invited to read at a rally attended by his favorite author.,0.0,content_diversity,Kevin realized that even the guys you root for most can something let you down.,"Kevin was so surprised at the author's rudeness, he even mentioned it to him.",Kevin cringed as his favorite author pretended to care about his fans and then put them down later.,Kevin swore to God that he would never treat people like he was treated by his favorite author.,Kevin decided he would get to know someone before admiring them.,-0.045,0.931,-0.270,-0.897,-0.534,23.163125,0.143723,0.522635,12.105858,0.075115,78.481263,0.952256,0.000000,41.017048,0.497682
test.sa-sb.sa-b::00689,Our relationship confuses me. We got into another argument. He accused me of not working hard. I explained my computer was being slow.,0.0,content_diversity,This is not a new problem.,The speed of the computer determines how fast I can go.,I can only go as fast as my computer.,A newer computer would get rid of this issue.,I felt that the computer was the focus of the issue.,-0.038,0.920,-0.301,-0.826,-0.335,6.792187,0.210353,0.545831,3.707385,0.114817,45.827389,0.731487,0.000000,25.014001,0.399268
test.sa-sb.sa-b::00690,Fred is visiting France. He is overwhelmed by the size of the city. Fred wishes he had brought a map. He can't find his way to his hotel.,1.0,content_diversity,He asked some strangers where to go.,He was desperate for a map.,He knew he had to struggle to find it.,He felt it was a challenge.,He decided to start asking for help.,-0.052,0.937,-0.451,-0.724,-0.357,13.041562,0.445622,0.456353,5.951560,0.203361,18.692369,0.358178,0.000000,8.530324,0.163456
test.sa-sb.sa-b::00690,Fred is visiting France. He is overwhelmed by the size of the city. Fred wishes he had brought a map. He can't find his way to his hotel.,0.0,content_diversity,It wasn't going to be easy.,The effort involved was going to be large.,He felt he needed to put forth large amounts of effort.,The skill needed to solve the map issue was great.,He knew he would be having a stressful day.,-0.053,0.920,-0.323,-0.736,-0.563,41.354844,0.825678,0.406190,16.797931,0.335382,64.605292,0.860067,0.000000,26.242034,0.349351
test.sa-sb.sa-b::00691,Jane noticed her internet was slow. The cable company was no help. Eventually someone recommended getting a better router. Jane tried it out.,0.0,content_diversity,The router changed everything.,The new router gave her a boost.,The speed change was obvious.,It didn't take long to see the great change.,The router upped the speed greatly.,-0.048,0.941,-0.403,-0.839,-0.507,5.952500,0.186855,0.557927,3.321060,0.104251,35.991203,0.549907,0.000000,20.080462,0.306808
test.sa-sb.sa-b::00692,I work very hard to please him. Today I got the entire house cleaned. I washed the floors and cleaned the toilets. I took all the trash out to the curb.,1.0,content_diversity,He came home and did not notice the work I had done.,When he saw how hard I worked he took me out to dinner.,None of it made him happy.,"He took one look at the work I had done and said, ""about time!""",I felt much better having a clean house even if my husband was moody.,-0.038,0.921,-0.232,-0.684,-0.245,-10.521875,0.096117,0.554690,-5.836377,0.053315,83.640018,0.759885,0.000000,46.394265,0.421500
test.sa-sb.sa-b::00692,I work very hard to please him. Today I got the entire house cleaned. I washed the floors and cleaned the toilets. I took all the trash out to the curb.,0.0,content_diversity,None of the work I did registered with him when he returned home.,All of my hard work went unnoticed by him upon his return.,He arrived back at home and showed no sign that he recognized any of my work.,The effort I put into doing all this cleaning did not register with him when he came home.,After coming home he in no way acknowledged or recognized how much I had been cleaning.,-0.052,0.923,-0.396,-0.907,-0.686,30.835625,0.453260,0.536073,16.530142,0.242981,87.039975,0.795893,0.000000,46.659768,0.426657
test.sa-sb.sa-b::00693,My friend and I use emoticons when we text. When we talked today we used the money one a lot. We like to use the one who covers his eyes. We sent it to each other to signify embarrassment.,0.0,content_diversity,it was hilarious,it was laughable,it has a lot of humor,we laugh,it made us laugh,-0.055,0.929,-0.419,-0.949,-0.749,25.911953,1.705396,0.319486,8.278494,0.544850,27.254308,2.041156,0.000000,8.707357,0.652120
test.sa-sb.sa-b::00694,I took my son to the store. He waved at a man there. The man asked how he was. My son used sign language to say he was good.,0.0,content_diversity,My son doesn't get many chances to sign with another boy close to his age.,The man looked happy to see his son talk to a friend in sign language.,The man's son was really happy to see my son and they laughed together.,"The boys were so glad to see each other, I promised to bring my son back soon.",The man's son wanted my son to stay longer so they could talk.,-0.092,0.900,-0.352,-0.838,-0.485,24.164375,0.303092,0.558064,13.485274,0.169145,57.921517,0.566745,0.000000,32.323928,0.316280
test.sa-sb.sa-b::00695,Joan went to the movies. She was going to meet her friend Lynn. Lynn was late for their meetings. Joan and Lynn bought their tickets.,1.0,content_diversity,they went inside the movie,they want the movies,they enjoy the movies,they went to dinner after,they went to the bar after,-0.123,0.844,-0.385,-0.778,-0.351,17.574766,0.844810,0.442861,7.783183,0.374134,15.738579,0.869047,0.000000,6.970007,0.384867
test.sa-sb.sa-b::00696,Joe bought a new leather jacket. He was excited to wear it out in public. He chose a night to go bar hopping. Unfortunately it started to rain.,1.0,content_diversity,he cancel it,he went anyway,he got caught in the rain,he decides to have a night in instead,he throw a party at home,-0.049,0.954,-0.272,-0.662,-0.237,19.480156,0.993340,0.261869,5.101248,0.260125,40.466287,1.389166,0.000000,10.596865,0.363780
test.sa-sb.sa-b::00697,The man baked the bread. The loaf looked perfect. He shared the load with his friends. His friends asked for the recipe.,1.0,content_diversity,One of his friends then stole the recipe and started selling the bread.,They all had a bread baking contest together.,The man told them that it was a secret.,They were all shocked to discover the secret ingredient.,His friends never ate store bought bread again.,-0.021,0.962,-0.302,-0.764,-0.268,0.264687,0.049762,0.616329,0.163134,0.030670,19.374935,0.607593,0.000000,11.941325,0.374477
test.sa-sb.sa-b::00697,The man baked the bread. The loaf looked perfect. He shared the load with his friends. His friends asked for the recipe.,0.0,content_diversity,He and his friends decided to have a competition to see who could bake the best loaf.,Together they agreed to compete to see who made the nicest bread.,A contest was put in place to determine who had the most excellent loaf ever.,They started a contest to see who's bread was superior.,The friends put a competition together so they could see who was the best bread baker.,-0.079,0.898,-0.549,-0.978,-0.760,44.702813,0.691751,0.560228,25.043768,0.387538,50.816427,0.805159,0.000000,28.468786,0.451073
test.sa-sb.sa-b::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",1.0,content_diversity,The tornado was the biggest ever and ripped their house apart killing them all.,Yet again for some reason their house was mostly unscathed.,The tornado turned out to be much weaker than predicted so they were pleased with thier decision.,The house was badly damaged by the tornado this time but luckily nobody was hurt.,They hid inside but forgot about the dog who was missing when the tornado passed.,-0.044,0.943,-0.248,-0.821,-0.379,13.871250,0.159860,0.504292,6.995161,0.080616,57.017047,0.929133,0.000000,28.753244,0.468555
test.sa-sb.sa-b::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",0.0,content_diversity,They all died as the tornado was so strong and destructive.,This time they were not so lucky and the house was destroyed by the tornado and they were all killed.,"This was a super tornado that destroyed the house, killing them all.",They all died this time becuase the tornado was so powerful.,The tornado was the biggest ever and tore their house apart and killed them all.,-0.110,0.862,-0.489,-0.965,-0.795,50.901562,0.770291,0.487030,24.790581,0.375155,28.490517,0.487549,0.000000,13.875732,0.237451
test.sa-sb.sa-b::00700,Jake invited friends over to play board games. They had drinks and played Monopoly mostly. Everyone had a good time. Eventually there was no winner and it got late.,0.0,content_diversity,Everyone had so much fun.,All of the participants had a fabulous time.,Jake and his friends found their time playing games together to be enjoyable.,Each attendee had a wonderful time.,They all had a very pleasurable experience.,-0.045,0.952,-0.531,-0.769,-0.737,29.234375,0.452557,0.550093,16.081632,0.248949,52.808046,0.323969,0.000000,29.049349,0.178213
test.sa-sb.sa-b::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,he wrecks it,he won the race,he got pulled over,it was exhilerating,he felt bad after,-0.039,0.756,-0.218,-0.573,-0.322,17.008281,0.972542,0.284162,4.833103,0.276359,38.082123,1.971397,0.000000,10.821482,0.560196
test.sa-sb.sa-b::00702,"Sally spent Monday night at a party. The party didn't end until 2 am. She fell asleep as soon as she got home. However, she forgot to study for a midterm.",1.0,content_diversity,She did bad on it.,The midterm didn't go well.,She was upset at herself.,The midterm should have gone different.,She was hoping to do better on the midterm.,-0.037,0.937,-0.366,-0.751,-0.465,10.482500,0.352150,0.479777,5.029261,0.168953,31.551679,1.455097,0.000000,15.137765,0.698122
test.sa-sb.sa-b::00702,"Sally spent Monday night at a party. The party didn't end until 2 am. She fell asleep as soon as she got home. However, she forgot to study for a midterm.",0.0,content_diversity,She didn't poorly on the test.,The test was worse then anticipated.,The midterm resulted in a low score.,She regretted what she did after the midterm grading.,The midterm brought a score not high enough to pass.,-0.031,0.947,-0.370,-0.789,-0.509,0.854375,0.124679,0.486212,0.415407,0.060620,43.042078,1.007874,0.000000,20.927565,0.490040
test.sa-sb.sa-b::00704,Mark is a manager at a restaurant. One evening a customer comes in with a complaint. He tells mark the food is cold and undercooked. Mark apologizes and gives him a refund.,1.0,content_diversity,the customer was still not happy,the customer was ok,mark decides to make better food,the restaurant was closed a few weeks later,customers comes less and less due to cold food,-0.047,0.929,-0.176,-0.696,-0.229,11.637656,0.604658,0.420376,4.892193,0.254184,66.475303,1.093308,0.000000,27.944631,0.459600
test.sa-sb.sa-b::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",1.0,content_diversity,I was glad I made the effort.,I was about to sneeze.,It was not harmed.,It was dirty.,I dusted it off.,-0.061,0.917,-0.327,-0.671,-0.254,5.041719,0.320012,0.461879,2.328665,0.147807,36.337249,0.821440,0.000000,16.783420,0.379406
test.sa-sb.sa-b::00706,"My textbook went missing. I tried to look inside the laundry room. Dust was flying everywhere, especially on the desk. I managed to find the book inside a bin.",0.0,content_diversity,I'm glad I looked for it.,It was worth the effort for the book.,I felt the time involved was worth it.,"The effort was steep, but I would do it again.",The book make it all worth the trouble.,-0.063,0.909,-0.395,-0.720,-0.575,14.489375,0.360785,0.470815,6.821821,0.169863,51.960148,0.932077,0.000000,24.463638,0.438836
test.sa-sb.sa-b::00708,Tim's grass got too long. He had to cut it or get fined. He decided to rent a riding mower. It took him less time than expected.,1.0,content_diversity,Riding lawnmowers take less time.,He felt it was a good purchase.,The purchase was a good one to him.,He was glad he didn't have to pay the fine.,He was happy that the grass issue was resolved.,-0.051,0.919,-0.341,-0.688,-0.459,-0.027969,0.112401,0.563041,-0.015748,0.063287,42.087272,1.152271,0.000000,23.696873,0.648776
test.sa-sb.sa-b::00709,I put my dog in training school. He is learning a lot of new tricks. He can now sit and stand. They are very good teachers.,1.0,content_diversity,I love that my dog is so obediant now.,But today he bit the postman and made him bleed.,They have made me want to train to be a dog trainer now.,I want him to be able to hunt out rats next.,I have heard a lot of people say good things about them.,-0.026,0.949,-0.239,-0.652,-0.222,16.943125,0.341866,0.483455,8.191244,0.165277,54.246995,1.383168,0.000000,26.225998,0.668700
test.sa-sb.sa-b::00710,Jim wanted to lose weight. He got a gym membership. He was embarrassed to go at first. Eventually he got over it.,0.0,content_diversity,Jim is so happy he did as he looks much better these days.,After a while the weight began to fall off so Jim is very pleased with his decision.,"After a month and looking in the mirror, Jim thinks its the best money he ever spent.","As well as been thinner, Jim was much happier.",He is pleased he did as nowadays he looks highly toned and buff.,-0.049,0.920,-0.287,-0.824,-0.608,28.061875,0.359488,0.465503,13.062896,0.167343,48.025789,0.982950,0.000000,22.356164,0.457567
test.sa-sb.sa-b::00711,Sam and his family went to the local town fair one Saturday. It was hot and humid but they tried to have fun anyway. Sam went on a few rides and played a few games. Suddenly it became very dark and the humidity broke.,0.0,content_diversity,The rain suddenly started falling and everyone dashed to find shelter.,Everyone ran for cover as the rain suddenly started teeming down.,In an instant the rain pelted down and people began to run for cover.,People began to run for cover as the rain started to fall.,Everyone tried to find shelter as the heavens opened and the rain poured down.,-0.144,0.793,-0.585,-0.970,-0.883,33.702813,0.547813,0.618314,20.838918,0.338721,33.110122,0.441631,0.000000,20.472449,0.273067
test.sa-sb.sa-b::00712,Tammy was at the park. She was watching her kids play. Tammy decided it was time to leave. She called her kids to the car.,0.0,content_diversity,they left,they leave the park,they went on with their car,they were on the road again,they drive away from the park,-0.071,0.923,-0.228,-0.785,-0.398,31.168281,1.431639,0.340732,10.620046,0.487806,40.344365,1.253208,0.000000,13.746635,0.427009
test.sa-sb.sa-b::00715,The cat smelled a shoe. It smelled like another cat. The cat urinated on the shoe. The owner put the shoe on later.,0.0,content_diversity,They were surprised.,The owner decided he should smell the shoes first.,He noticed only later in the day.,The shoe did not smell the same he noticed.,The owner didn't know the cat urinated on shoes.,-0.037,0.933,-0.280,-0.729,-0.188,7.529063,0.218510,0.524311,3.947571,0.114567,39.782249,1.069493,0.000000,20.858273,0.560747
